股票代码,公司简称,新闻当天日总市值,新闻当天日流通市值,新闻发布时间,新闻实际来源,原文长度,情感分数,真实性（虚假1真实0）,年报资产报酬率（%）,年报资产报酬率TTM（%）,年报营业利润率（%）,流动比率（%）,速动比率（%）,净资产负债率（%）,年报总资产周转率（次）,年报总资产周转率TTM（次）,资产负债率（%）,年报非流动资产/总资产（%）,情感分数2,标题中性分数 (t-4)_x,标题积极分数 (t-4)_x,标题消极分数 (t-4)_x,评论中性分数 (t-4)_x,评论积极分数 (t-4)_x,评论消极分数 (t-4)_x,标题中性分数 (t-3)_x,标题积极分数 (t-3)_x,标题消极分数 (t-3)_x,评论中性分数 (t-3)_x,评论积极分数 (t-3)_x,评论消极分数 (t-3)_x,标题中性分数 (t-2)_x,标题积极分数 (t-2)_x,标题消极分数 (t-2)_x,评论中性分数 (t-2)_x,评论积极分数 (t-2)_x,评论消极分数 (t-2)_x,标题中性分数 (t-1)_x,标题积极分数 (t-1)_x,标题消极分数 (t-1)_x,评论中性分数 (t-1)_x,评论积极分数 (t-1)_x,评论消极分数 (t-1)_x,标题中性分数 (t+0)_x,标题积极分数 (t+0)_x,标题消极分数 (t+0)_x,评论中性分数 (t+0)_x,评论积极分数 (t+0)_x,评论消极分数 (t+0)_x,标题中性分数 (t+1)_x,标题积极分数 (t+1)_x,标题消极分数 (t+1)_x,评论中性分数 (t+1)_x,评论积极分数 (t+1)_x,评论消极分数 (t+1)_x,标题中性分数 (t+2)_x,标题积极分数 (t+2)_x,标题消极分数 (t+2)_x,评论中性分数 (t+2)_x,评论积极分数 (t+2)_x,评论消极分数 (t+2)_x,标题中性分数 (t+3)_x,标题积极分数 (t+3)_x,标题消极分数 (t+3)_x,评论中性分数 (t+3)_x,评论积极分数 (t+3)_x,评论消极分数 (t+3)_x,标题中性分数 (t-4)_y,标题积极分数 (t-4)_y,标题消极分数 (t-4)_y,评论中性分数 (t-4)_y,评论积极分数 (t-4)_y,评论消极分数 (t-4)_y,标题中性分数 (t-3)_y,标题积极分数 (t-3)_y,标题消极分数 (t-3)_y,评论中性分数 (t-3)_y,评论积极分数 (t-3)_y,评论消极分数 (t-3)_y,标题中性分数 (t-2)_y,标题积极分数 (t-2)_y,标题消极分数 (t-2)_y,评论中性分数 (t-2)_y,评论积极分数 (t-2)_y,评论消极分数 (t-2)_y,标题中性分数 (t-1)_y,标题积极分数 (t-1)_y,标题消极分数 (t-1)_y,评论中性分数 (t-1)_y,评论积极分数 (t-1)_y,评论消极分数 (t-1)_y,标题中性分数 (t+0)_y,标题积极分数 (t+0)_y,标题消极分数 (t+0)_y,评论中性分数 (t+0)_y,评论积极分数 (t+0)_y,评论消极分数 (t+0)_y,标题中性分数 (t+1)_y,标题积极分数 (t+1)_y,标题消极分数 (t+1)_y,评论中性分数 (t+1)_y,评论积极分数 (t+1)_y,评论消极分数 (t+1)_y,标题中性分数 (t+2)_y,标题积极分数 (t+2)_y,标题消极分数 (t+2)_y,评论中性分数 (t+2)_y,评论积极分数 (t+2)_y,评论消极分数 (t+2)_y,标题中性分数 (t+3)_y,标题积极分数 (t+3)_y,标题消极分数 (t+3)_y,评论中性分数 (t+3)_y,评论积极分数 (t+3)_y,评论消极分数 (t+3)_y
002594,比亚迪,,,2016/7/15,其他,1382,17.5,1,6.306,5.663,5.7855,0.999,0.7771,174.9289,0.7942,0.7942,61.8053,46.0676,18,0.9999130964279175,0,0,0.9999127388000488,0,0,0.8282804489135742,0,0,0,0,0.9231722950935364,0.9982911944389343,0,0,0.6009020209312439,0,0,0.7497492879629135,0.24994291365146637,0,0.999413475394249,0,0,0.3780832290649414,0,0.4994580149650574,0,0.4969205856323242,0.4994580149650574,0.9506355027357737,0,0,0.7840209305286407,0,0.11514500776926677,0.7701468672071184,0.05665222406387329,0.15840491482189722,0.7830631724425725,0.05687877876417977,0.1534667202404567,0.7131471261382103,0.12496023252606392,0.12386849150061607,0.7841507829725742,0.03238708898425102,0.12386849150061607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300094,国联水产,,,2016/7/22,证券时报,752,34.58,0,4.6211,4.2262,3.5819,2.2742,1.0191,72.5647,0.9154,0.9154,42.0507,19.3745,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9410260319709778,0,0,0.9410260319709778,0,0,0.9996762275695801,0,0.9999010562896729,0,0,0.9999055862426758,0,0,0.9999070167541504,0,0,0.8515863737394643,0.06953054943750071,0.0696504226950712,0.8327089478803236,0.046456167864245036,0.11600661693617355,0.705571323633194,0,0.24990002810955048,0.7498884946107864,0,0.24990002810955048,0.8331618209679922,0,0.16657044490178427,0.6665965914726257,0.16535253326098123,0.16657044490178427,0.9543552940542047,0.04542322050441395,0,0.9544212899424813,0,0.04484874551946467
000672,上峰水泥,,,2016/7/25,中国证券报,422,-0.2,0,4.7057,4.7444,5.5254,0.5851,0.2593,286.991,0.4976,0.4976,72.4193,62.5647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9995599389076233,0,0,0.9994567036628723,0.9998683333396912,0,0,0.9998682141304016,0,0,0.9999068975448608,0,0,0.9999039173126221,0,0,0.9999085664749146,0,0,0.9998925924301147,0,0,0.7628560778167512,0.055541167656580605,0.16091057161490122,0.6798108981715308,0.055541899469163686,0.24020246830251482,0.7377838487118746,0.07020587098281995,0.1779297991136534,0.7622130033189216,0.07915662664227781,0.14627049296303132,0.48433759808540344,0.4995703101158142,0,0.49995261430740356,0.4995703101158142,0,,,,,,
601933,永辉超市,,,2016/7/25,自媒体,471,-0.26,1,5.6461,4.7701,3.0419,2.0465,1.5113,53.1124,1.9795,1.9795,34.638,30.1373,0,0.8891823870294234,0.04889840939465691,0,0.8897996527307174,0.05876772894578822,0,0.5832346396313773,0.19432432949543,0.1949750781059265,0.7304462028874291,0.1665850364499622,0.08287869393825531,0.33319809039433795,0.6580822070439657,0,0.33319809039433795,0.6580822070439657,0,0.772848391532898,0,0.19990410804748535,0.7370302438735962,0,0.1999092936515808,0.8886349068747627,0.06870617469151814,0,0.8887141678068373,0,0.11104012197918361,0.9960438973373837,0,0,0.9960322545634376,0,0,0.7644108639043921,0.11126864657682531,0.0899877898833331,0.5293350254788118,0.2352083255262936,0.20750159726423376,0.9999071359634399,0,0,0.999902069568634,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601668,中国建筑,,,2016/7/29,其他,631,31.9,0,4.7489,4.208,5.3303,1.3881,0.77,577.9576,0.7781,0.7781,79.0942,20.2598,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600297,广汇汽车,,,2016/7/30,中国经营报,2448,3.94,1,6.2364,5.2296,2.8244,0.99,0.7501,353.0624,1.4424,1.4424,74.3165,43.1714,4,0.4999547004699707,0,0.43779462575912476,0.9999107122421265,0,0,0.8880541622638702,0,0,0.888054221868515,0,0,0.6665951013565063,0,0.33320629596710205,0.6665951013565063,0,0.33320629596710205,0.6448456048965454,0.09061717410241404,0.25495454765135245,0.7066457213894013,0.09674646200672272,0.19296601703090052,0.6661851604779562,0,0.3332035342852275,0.6661851604779562,0,0.3332035342852275,0.6581893761952718,0.19973950783411662,0.13325649499893188,0.7915253599484762,0.06665160258611043,0.13209415674209596,0.6599034656912593,0.08471883959689383,0.23602109339277624,0.6604548126964246,0.08447988457598929,0.23609715801174358,0.7314580697566271,0.06243724375963211,0.18642734177410603,0.7626084610819817,0.031240856274962425,0.18642709590494633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300177,中海达,,,2016/8/1,中国证券报,411,19.792,0,0.8324,0.8012,-1.1745,4.0972,3.6143,24.238,0.3866,0.3866,18.654,27.6721,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8341310024261475,0,0,0.8341310024261475,0,0,0.5462502837181091,0,0.3332025408744812,0.5462566812833151,0,0.3332025408744812,0.9999117851257324,0,0,0.9999020099639893,0,0,0.49994951486587524,0,0.49965083599090576,0.49994951486587524,0,0.49965083599090576,0.9998927593231202,0,0,0.9998933792114257,0,0,0.9998273508889335,0,0,0.857045693056924,0.142811724117824,0,0.8948412835597992,0.07920315861701965,0,0.8998926103115081,0,0.07533084750175476,0.9974981120654515,0,0,0.9974970732416425,0,0
000892,星美联合,,,2016/8/1,证券日报,1509,-21.12,1,11.8576,8.2928,32.9409,6.0045,5.1773,23.8625,0.3189,0.3189,19.2653,2.4514,-22,0,0.9997323155403137,0,0.999910831451416,0,0,0.99983811378479,0,0,0.9998648166656494,0,0,0.4998689591884613,0,0.4996578097343445,0.49994486570358276,0,0.4996578097343445,0.4996970295906067,0,0.49978843331336975,0.4976625442504883,0,0.49978843331336975,0.8144734541052266,0.052446834350887095,0.1299641312737214,0.8636236912325809,0.052554078007999216,0.07864395254536678,0.820299056371053,0.13280728896458943,0.03522877216339111,0.8349268094698588,0.11912751038869222,0.03522877216339111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300020,银江股份,,,2016/8/16,中国证券报,879,31,0,3.624,3.3791,9.4037,1.6503,1.1691,82.2485,0.3246,0.3246,44.8856,26.841,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999066591262817,0,0,0,0.9996622800827026,0,0.9997904896736145,0,0,0.9992883801460266,0,0,0.9999068975448608,0,0,0.9999068975448608,0,0,0.8031841458058825,0.1749305386169284,0.019595378754185697,0.7645515881332696,0.2147204735699822,0.019595378754185697,0.7739026654850353,0.18168974103349628,0.030290096095114044,0.8050227237470222,0.1514519922661059,0.030290096095114044,0.8074891567230225,0.15093499651321998,0.03841354755254892,0.7305717055614178,0.2223146649507376,0.03844026648081266,0.6659083233939277,0.11101075013478597,0.22207696570290458,0.6660402947001987,0.16659271054797703,0.16022423572010464
002555,三七互娱,,,2016/8/16,证券市场周刊,3526,14.2,1,24.0419,20.7235,22.1972,1.5087,1.4647,36.631,0.9533,0.9533,25.9475,61.6275,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600367,红星发展,,,2016/8/17,其他,1418,34.1,1,4.5965,4.5317,5.6202,2.0983,1.4312,47.871,0.7185,0.7185,30.9798,36.6312,30,,,,,,,,,,,,,0.9998916387557983,0,0,0.9999058246612549,0,0,0.9999091625213623,0,0,0.9999091625213623,0,0,0.6699383825063705,0.0999296858906746,0.22469736337661744,0.7947064146399498,0,0.19371522814035416,0.7318699760971782,0.12141711912422537,0.13293515688905091,0.7875456553753292,0.0932174001898721,0.109919041116661,0.8513290200914655,0,0.13902816602161952,0.8517553806304932,0,0.13902816602161952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300075,数字政通,,,2016/8/21,中国证券报,618,35.3,0,7.581,6.7891,12.2649,1.6485,1.4576,64.8748,0.4592,0.4592,38.5291,38.0864,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002328,新朋股份,,,2016/8/22,其他,204,1,1,5.6468,5.5423,5.1784,1.6487,1.2308,56.5786,0.9995,0.9995,32.6222,48.4218,1,0.6666026512781779,0.33253910144170123,0,0.666598916053772,0.33253910144170123,0,0.8541316560336522,0,0.14279991388320923,0.8570589848927089,0,0.1427986536707197,0.8570274370057243,0,0.07313050542558942,0.8570532969066075,0,0.07313050542558942,0.9999111890792847,0,0,0.9999111890792847,0,0,0.8441098397428339,0.03208447261290117,0.10408510511571711,0.7597822763703086,0.12017899426546964,0.105825120752508,0.8454318948090076,0.03744311556220055,0.11125321090221404,0.8580842725932598,0.03133688792586327,0.09864375740289688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300426,唐德影视,,,2016/8/23,证券时报,367,14.6,0,9.9403,7.8697,20.392,2.1412,1.2894,143.0018,0.3926,0.3926,58.3809,17.3945,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999140501022339,0,0,0.9999125003814697,0,0,0.9999125003814697,0,0,0.9999128580093384,0,0,0.9998739957809448,0,0,0.9997954964637756,0,0,0.9998940229415894,0,0,0,0,0.9878798127174377,0.6665572722752889,0.16662217179934183,0.16539431611696878,0.8288716276486715,0,0.16656903425852457,0.8332541187604269,0.08330224951108296,0.08330103258291881,0.9993977844715118,0,0,0.7891717195510864,0.07773448944091797,0.11983028650283814,0.7339917254447937,0.07987532377243042,0.15981415271759034,0.8708013949855682,0.032091417620258945,0.0960418620417195,0.7415999154890737,0.03222790648860316,0.22494714875375071
600075,新疆天业,,,2016/8/23,证券时报,2000,-4.11,1,8.4747,8.8412,10.4397,0.6671,0.4176,109.4324,0.6292,0.6292,49.6466,72.1558,-5,0.999864473938942,0,0,0.999864473938942,0,0,0.9995553195476532,0,0,0.9995421469211578,0,0,0.9998383522033691,0,0,0.9999107122421265,0,0,0.8802794042755576,0.05877365785486558,0.058797853834488815,0.7611064525211558,0.17590519259957707,0.05875441957922543,0.8356236908584833,0.021882016211748123,0.12477912940084934,0.7418711520731449,0.08235581032931805,0.15599395148456097,0.7645743278896108,0.05450576894423541,0.17080972475164077,0.7646131725872264,0.058806219521690815,0.17080972475164077,0.657567434238665,0.11964360692284325,0.20584448178609213,0.7110620574517683,0.14491522854024713,0.12111200166471077,0.9030632640040198,0.06974299979764362,0.023236429968545604,0.9030284812284071,0.04649199995883675,0.04296636997267257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601186,中国铁建,,,2016/8/30,智通财经,115,0,0,2.9034,2.7825,2.8811,1.245,0.7037,465.4643,0.8648,0.8648,80.4152,19.4964,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999079704284668,0,0,0.9998942613601685,0,0,0.9998940229415894,0,0,0.9998940229415894,0,0,0,0,0.9831597208976746,0.9997431635856628,0,0,0.999868631362915,0,0,0.9999116659164429,0,0,0.6666010697682698,0.10416915416717529,0.1999060869216919,0.5997275431950887,0.10416915416717529,0.2651550610860189,0.7404537951504743,0.14718552430470785,0.11037944864343714,0.7035524138697872,0.18413115872277153,0.11037944864343714,0.8153596347884128,0.10487950161883705,0.07890896734438445,0.8936606520100644,0.05261877649708798,0.052596903160998694,0.8508853537065012,0.035813753251676204,0.1110452722620081,0.8493731441321196,0.035813753251676204,0.11104521928010164
000605,渤海股份,,,2016/8/30,中国证券报,268,4.8,0,2.8499,2.4294,8.4343,0.3624,0.356,217.982,0.2704,0.2704,65.8364,79.446,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983389377593994,0,0,0.9966707825660706,0,0,0.9998959302902222,0,0,0.9999074935913086,0,0,0,0,0.5578993558883667,0.9449325799942017,0,0,0.6926954289277395,0.059684945778413254,0.2359314335115028,0.6913116520101373,0.0748257835706075,0.2210423874132561,0.7208117246627808,0.04242477518446902,0.23118269063056784,0.6783813593235422,0.021249681077104933,0.29431123936429937,0.8981388807296753,0.06640336712201436,0.03331100145975749,0.8997587919235229,0.06640336712201436,0.03331100145975749,0.9892994523048401,0,0,0.7881762266159058,0,0.19987162351608276
603023,威帝股份,,,2016/8/31,其他,677,2.5,1,19.2207,18.1223,36.5686,9.9533,8.9018,10.0219,0.3846,0.3846,9.109,9.7621,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603936,博敏电子,,,2016/8/31,其他,2079,-14.8368,1,3.7931,3.6574,3.3384,0.9005,0.6241,105.7988,0.7285,0.7285,51.4088,57.5875,-12,0.9999113082885742,0,0,0,0.5052907466888428,0,0.9952237010002136,0,0,0.9956884980201721,0,0,0.9999085664749146,0,0,0.9999116659164429,0,0,0.9998250603675842,0,0,0.9996390342712402,0,0,0.696510278752872,0.03570375272205898,0.24907114037445613,0.7141442841717175,0.035700456372329166,0.23122537987572805,0.6339103625370905,0,0.32781448043309724,0.6249020672761477,0,0.3450761941763071,0.7824892142544622,0,0.2170039933660756,0.7260603775148806,0,0.25515968125799426,0,0,0.8892752230167389,0.499505877494812,0,0.49950867891311646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002551,尚荣医疗,,,2016/9/2,上海证券报,277,1,0,4.9653,4.2924,7.9331,1.5149,1.3039,106.9786,0.5547,0.5547,46.5051,42.1352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999034404754639,0,0,0,0.9997690320014954,0,0.9999125003814697,0,0,0.9999140501022339,0,0,0.7961197793483734,0.1999285638332367,0,0.8744217932224274,0.0999742329120636,0,0.7598751664161683,0.0631445837020874,0.14621508121490479,0.8593054127693176,0,0.1198045825958252,0.9998500347137451,0,0,0.9988573789596558,0,0,0.7141398787498474,0.07136640804154533,0.2093934714794159,0.7141398787498474,0.07136640804154533,0.21104773879051208,0.7537992268192525,0.13544577360153198,0.10190592250045465,0.7532818232263837,0.09397635897811578,0.14262185777936662
600363,联创光电,,,2016/9/2,其他,1884,18.99,1,5.7718,5.5622,6.6418,1.4008,1.0441,75.2491,0.673,0.673,40.0904,45.1538,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600831,广电网络,,,2016/9/3,证券时报,391,24.6,0,3.3362,3.0531,4.7304,0.6473,0.6024,130.8208,0.4353,0.4353,56.2534,73.0373,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002326,永太科技,,,2016/9/3,华夏时报,1980,-2.06,1,9.6129,8.5063,18.1253,0.9027,0.6486,110.7414,0.4425,0.4425,51.9081,57.9249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000826,启迪桑德,,,2016/9/6,中国证券报,434,6,0,8.1812,6.9708,17.0665,0.6991,0.657,176.8026,0.3545,0.3545,63.4651,66.0939,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7498004212975502,0.12496786564588547,0.1248958557844162,0.8747560009360313,0,0.1248958557844162,0.49995163083076477,0,0.36044853925704956,0.749928891658783,0,0.1678646057844162,0.49994009733200073,0,0.3404187858104706,0.9997565746307373,0,0,0.9999005317687988,0,0,0.9999030113220215,0,0,0.6247591450810432,0,0.374556340277195,0.8746289312839508,0,0.12489033490419388,0.7205014675855637,0.16305696467558542,0.08330074449380238,0.7985473225514094,0.07974326610565186,0.08330074449380238,0.7737334867318472,0.16655748089154562,0,0.8270841439565023,0.16655748089154562,0,0.793975007534027,0,0.19987450838088988,0.5939911246299744,0.1999550223350525,0.19991289377212523
002359,齐星铁塔,,,2016/9/6,其他,1910,1.7,1,-3.29,,4.59,1.38,1.05,,0.59,,50.61,31.01,3,0.9818310141563416,0,0,0.9989888072013855,0,0,0.9999056160449982,0,0,0.9998971521854401,0,0,0.9995478987693787,0,0,0.9997967481613159,0,0,0.9164764185746511,0.08328559994697571,0,0.9158922433853149,0.08328559994697571,0,0.7347083687782288,0,0.19759231060743332,0.7346901446580887,0,0.19759231060743332,0.5993240296840667,0.06921378374099732,0.2788671553134918,0.890751713514328,0,0.08824412822723389,0.6091897090276083,0.16662441028489006,0.22207302186224195,0.6092270414034525,0.16388889484935337,0.22209223442607456,0.49281708399454754,0,0.4992319146792094,0.49533121784528095,0,0.4992319146792094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600182,S佳通,,,2016/9/8,其他,726,-6,1,16.6729,18.4886,13.7747,2.5339,1.6566,68.452,1.1605,1.1605,27.792,45.7389,-5,0.9931063055992126,0,0,0,0.9997771382331848,0,0.49995434284210205,0,0.4996868669986725,0.9999071955680847,0,0,0.9999062538146972,0,0,0.9996213316917419,0,0,0.49822425842285156,0.4997507333755493,0,0.9987926185131073,0,0,0.994904100894928,0,0,0.9471359347042284,0,0.05261146394830001,0.8725629470565103,0.015663426572626288,0.10675957311283459,0.8464896819808266,0.033840408108451146,0.09814128875732422,0.8411211946180889,0.13545497400420053,0,0.8570504997457776,0.12925477964537485,0,0.9598349809646607,0.030447328090667726,0,0.9998647022247314,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601919,中国远洋,,,2016/9/9,智通财经,351,2,0,-5.0721,-5.9377,-11.1194,1.3541,1.3074,448.0846,0.508,0.508,68.6185,62.0882,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9996142387390137,0,0,0.9996174573898315,0,0.9995959401130676,0,0.9998984336853027,0,0,0.999909520149231,0,0,0.9999067783355713,0,0,0.49994927644729614,0,0.47879618406295776,0.996895432472229,0,0,0.9998958110809326,0,0,0.9999082088470459,0,0,0.740959495306015,0,0.24923573434352875,0.24988840520381927,0.4427189975976944,0.24958263337612152,0.996957023938497,0,0,0.9969567060470581,0,0,0.5550906459490458,0.32743451992670697,0.11026416884528266,0.5506405433019003,0.3274857136938307,0.11026416884528266
002121,科陆电子,,,2016/9/9,其他,482,7,0,4.6773,4.3118,5.8849,1.0452,0.8488,355.659,0.2806,0.2806,77.1515,52.753,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300041,回天新材,,,2016/9/10,中国经营报,2319,4.19999999999999,1,6.3883,6.2917,8.6267,4.424,3.5316,15.5339,0.6292,0.6292,13.4061,46.6291,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000693,ST华泽,,,2016/9/14,每日经济新闻,5169,45.9,1,-6.76,,-16.84,1.36,1.31,,0.45,,77.62,18.6,44,0.4999542236328125,0,0.4919845461845398,0.9990957677364349,0,0,0.6666031281153361,0.2790792187054952,0,0.9999009768168131,0,0,0.9998615980148315,0,0,0.9998934779848371,0,0,0.8332463502883911,0,0.1665925681591034,0.8332427938779196,0,0.1665925681591034,0.7999221563339234,0.1802366256713867,0,0.9999089717864991,0,0,0.9994097550710043,0,0,0.9995193183422089,0,0,0.8595834672451019,0,0,0.8595834672451019,0,0,0.9998927414417267,0,0,0.9998911917209625,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002717,岭南园林,,,2016/9/19,中国证券报,128,3,0,6.7025,5.634,11.5433,1.4717,0.8838,100.6612,0.5723,0.5723,50.1204,40.4329,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999080896377563,0,0,0,0.9997590184211731,0,0,0.9997772574424744,0,0.921201765537262,0,0,0.9351160210721633,0.058807467713075524,0,0.8763933427193585,0.058807467713075524,0.05745983474394854,0.7711067010055889,0.045441001653671265,0.1817250522700223,0.7713119848207994,0.04544152183966203,0.1817250522700223,0.6816894791342996,0.09086785262281244,0.22672491452910684,0.727181385863911,0.09086785262281244,0.18129378286274997,0.8317250472803911,0.04156387597322464,0.11270277202129364,0.8534935613473257,0.041310641914606094,0.09260565663377444
601933,泰禾集团,,,2016/9/19,中国证券报,464,11.8,0,5.6461,4.7701,3.0419,2.0465,1.5113,53.1124,1.9795,1.9795,34.638,30.1373,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998996257781982,0,0,0.9997575879096985,0,0,0.9927481055259705,0,0,0.9927481055259705,0,0,0.9999126195907593,0,0,0.9999126195907593,0,0,0.9999096393585205,0,0,0.9999057054519653,0,0,0,0,0.8872990608215332,0,0,0.8872990608215332,0.9999028444290161,0,0,0.9998741745948792,0,0,0.4951150715351105,0.499811589717865,0,0.4951150715351105,0.4989285171031952,0,0.9998941421508789,0,0,0.9998941421508789,0,0
000898,鞍钢股份,,,2016/9/20,中国证券报,1726,11.102,1,3.2355,3.2452,2.7487,0.6979,0.4134,95.3188,0.6553,0.6553,48.5767,70.8456,10,0.9996654093265533,0,0,0.999673455953598,0,0,0,0.9945567846298218,0,0,0.9945567846298218,0,0.999901294708252,0,0,0.999901294708252,0,0,0.9998084902763367,0,0,0.9998084902763367,0,0,0.7141825897353036,0.2016954038824354,0.07019345675195966,0.7141814231872559,0.2016954038824354,0.07121778811727252,0.894744309095236,0.05126829636402619,0.05122544826605381,0.8693888661188957,0.09024992814430824,0.025623083114624023,0.8619011342525482,0.100475013256073,0,0.862017959356308,0.100475013256073,0,0.998975416024526,0,0,0.8323244651158651,0.1666142145792643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000761,本钢板材,,,2016/9/20,中国证券报,1726,11.102,1,3.5166,3.2019,3.3707,0.7456,0.4704,321.5888,0.5988,0.5988,75.5066,51.0707,10,0.9999115467071533,0,0,0.999902606010437,0,0,0.9999074935913086,0,0,0.8733896613121033,0,0,0,0,0.9992303848266602,0,0,0.9992303848266602,0.5336316426595052,0.2385081872344017,0.208242600162824,0.43391742060581845,0.19739639510711035,0.3320624902844429,0.982886791229248,0,0,0.9628583148673728,0.03701160572193287,0,0.7806636288359359,0.08069080436551893,0.13248926723325574,0.80784664121834,0.05367356860959852,0.12790668171805306,0.9502300003479267,0.03409699119370559,0,0.9157978440153187,0.03409699119370559,0.0343368752249356,0.7645261708427878,0.10646315181956571,0.11738067164140589,0.8232816001948189,0.05881016044055715,0.11738067164140589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300210,森远股份,,,2016/9/22,上海证券报,242,7,0,5.2828,4.8627,17.9679,1.4408,1.1126,66.3158,0.2398,0.2398,39.8304,45.9731,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997913539409637,0,0,0.9997913539409637,0,0,0.9999114274978638,0,0,0.9999114274978638,0,0,0.9998829364776611,0,0,0,0.9996300935745239,0,0.9999133348464966,0,0,0.9999067783355713,0,0,0.7741163853676089,0.12846550057011266,0.09670801508811212,0.798242655492598,0.09669171994732272,0.09671117028882427,0.8306466775635878,0.06231027220686277,0.10093054547905922,0.8302207005520662,0.062318477779626846,0.10328163206577301,0.8887993097305298,0.11097106006410387,0,0.8888071907891167,0.11097106006410387,0,0.7261193990707397,0.18747143745422362,0,0.7996912360191345,0.18747143745422362,0
