股票代码,原文,标题,新闻当天日总市值,新闻当天日流通市值,新闻发布时间,新闻实际来源,新闻来源备注,原文长度,情感分数,年报资产报酬率（%）,年报资产报酬率TTM（%）,年报营业利润率（%）,流动比率（%）,速动比率（%）,净资产负债率（%）,年报总资产周转率（次）,年报总资产周转率TTM（次）,资产负债率（%）,年报非流动资产/总资产（%）,情感分数2
002780,"三夫户外(002780)5月24日晚间公告，公司当日与与内蒙古阿尔山市人民政府、阿尔山饮品(北京)有限公司举行联合发布会，并签署了《三方战略合作框架协议》。

协议规定，三方就在阿尔山市组织开展“阿尔山 UTAS100 超级越野跑”以及阿尔山马拉松赛事、阿尔山户外旅游线路的推广、户外体验营地的建设和运营、冬季户外项目的开发等相关事宜达成共识。

公司表示，本次与内蒙古阿尔山市人民政府、阿尔山饮品(北京)有限公司签约合作，是三夫公司向户外赛事组织和户外出行服务领域迈出的重要一步，是公司与政府、地方企业资源整合，整体推动区域户外产业发展的新尝试，如果进展良好，公司将启动更多的此类合作项目。",三夫户外与内蒙阿尔山市合作 布局户外赛事组织,,,2016-05-24,证券时报,,296,11.0,9.4846,8.9493,11.6952,5.1098,3.4058,23.2084,0.7753,0.7753,18.8362,3.7797,10
600068,"葛洲坝（600068）6月3日晚间发布公告，2016年6月2日，公司与四川省环境保护厅签订了《四川省环境保护厅 中国葛洲坝集团股份有限公司关于加强重点流域水环境综合治理战略合作框架协议》，双方就加快四川重点流域水环境综合治理达成协议。
    本合作框架协议按照“整体规划、突出重点、试点先行、全面推广”的合作思路，四川省环境保护厅积极协助公司参与四川岷江、沱江、嘉陵江“三江流域”水污染治理，根据流域水污染治理需要，提出项目需求，积极支持公司在项目中的投资、建设和运营。本公司充分发挥在资金、技术、人才方面的优势，采用PPP模式、直接投资、股权合作等方式，主要以第三方治理的模式按区域流域整体打包治理，承诺合作期内在四川投资不低于500亿元。 
    本合作协议的签署，符合公司的战略发展需要，有利于公司开拓水务环保市场，有利于公司的长远发展。 ",葛洲坝与四川省环保厅战略合作 开拓水务环保市场,,,2016-06-03,中国证券报,,375,18.0,5.22,,4.55,1.69,1.04,,0.72,,67.64,33.52,16
002518,"
科士达(002518,买入)2016年6月7日公告，公司于2016年6月5日在安徽省金寨县与金寨县人民政府签订了《投资合作协议》（以下简称“协议”），在光伏电站建设及逆变器、新能源汽车充电设施生产等领域开展合作。公司拟在金寨县域内建设300MW光伏电站，分三年实施，项目总投资约22.5亿元人民币，并在金寨现代产业园区投资建设不低于300MW光伏逆变器和电动汽车充电设施项目，项目总投资约1亿元人民币。",科士达与金寨县人民政府签订投资合作协议,,,2016-06-06,其他,,202,6.0,12.4344,11.78,17.7024,3.2218,2.7287,41.8816,0.6548,0.6548,29.2435,23.2434,5
600836,"　　界龙实业（600836）6月8日晚间公告称，公司下属控股子公司上海界龙现代印刷纸品有限公司与上海国际主题乐园有限公司、上海国际主题乐园配套设施有限公司签署了《一揽子采购协议》。根据该协议约定，公司将与上述两家公司进行合作，为上海迪士尼度假区提供专业门票印刷服务。 

　　公司表示，本次公司与上海迪士尼度假区合作，有利于提升公司品牌和票据印刷专业服务的国际知名度与影响力，对公司在票据印刷和安全技术印刷领域的国内外相关市场业务的拓展起到积极影响，进而有利于提升公司竞争力和综合实力。 

　　国泰君安此前便预测，作为全球第6个、中国第2个迪士尼乐园,上海迪士尼乐园从项目规划至今已历经10余年。项目最终于2011年4月正式开工。从年报数据看,界龙实业旗下10家包装印刷子公司均位于上海迪士尼周边(上海迪士尼一期园区北侧)。包装印刷生产基地合计工业土地储备约300亩,地上厂房建筑约50万平方米。凭借界龙在包装印刷领域的实力,加之优越的地理位置,不排除公司未来与上海迪士尼在包装印刷相关配套产品上(如门票、地图印刷等)有合作。",界龙实业：与迪士尼签署采购协议,,,2016-06-08,中国证券报,,464,12.0,1.057,1.1023,-0.7738,1.0521,0.2769,289.5545,0.4881,0.4881,73.1505,34.252,12
601608,"8日早间，中信重工发布公告称，6月7日，其全资二级子公司中信重工工程技术有限责任公司与CENTURY PEAK CORP.公司（简称CPC，中文名为世纪顶峰公司）签订了《菲律宾CPC日产5000吨水泥厂及配套9MW余热发电合同》，合同总金额为人民币956,644,400元。
　　据公告，世纪顶峰公司是世纪顶峰金属控股公司(CMPH)的全资子公司。CMPH 于2003 年12 月30 日在菲律宾证券交易委员会注册，并于2009 年10 月26 日在菲律宾证券交易所上市。世纪顶峰经营CMPH 的所有采矿业务，拥有在Pinamungahan，Cebu 地区覆盖4.795公顷石灰石的采矿权（到2021年），经测量该矿区的资源至少为4.8 亿MT。该公司是菲律宾排名前十名的公司，实力雄厚，具有良好的信誉和履约能力。
　　公司称，本合同金额约占公司2015年度经审计营业收入的23.79 %，合同签订及实施将对公司未来的经营业绩产生积极的影响；同时，将为公司进一步拓展东南亚的水泥市场提供强大的业绩支撑。

",中信重工斩获菲律宾9.5亿水泥成套总包大单,,,2016-06-08,上海证券报,,453,9.8,-6.7316,-6.9002,-42.983,1.1403,0.754,176.7731,0.1861,0.1861,63.4999,43.505,9
002607,"亚夏汽车6月13日晚公告称，公司近日与国内首批IPO发行询价投资机构——盛世景资产管理股份有限公司签署了全面战略合作协议。
　　根据协议，盛世景除未来拟择机增持亚夏汽车股票外，将协助公司进行战略并购的相关工作，通过控股型收购，完善公司在汽车后市场产业链布局，尽快完成第二主业布局；协助公司通过参股型投资，与相关细分行业领域的优质公司开展战略合作，提升资源整合能力；协助公司开展跨境投资和并购业务，提供投资顾问服务。
　　值得关注的是，公司还将与盛世景设立产业并购基金，推进公司在产业转型方面需开展的股权收购及投资业务，重点布局平安出行、新能源汽车运营、汽车后市场服务、智能驾驶、文化教育等业务。该产业基金以合伙企业形式组建，基金规模拟投资10亿元。
　　据介绍，盛世景是国内首批IPO发行询价投资机构，是证监会登记的私募基金管理人、证券投资基金业协会特别会员。在行业内居于领先地位的、主要从事资本市场资产管理业务的专业机构，具有丰富的产业并购基金管理与运营经验，2011年至2015年连续5年获评清科“中国私募股权投资机构50强”。",亚夏汽车牵手盛世景 拟设10亿元产业并购基金,,,2016-06-13,上海证券报,,466,14.7,3.2313,3.0104,0.7799,1.0154,0.6888,126.621,1.6579,1.6579,55.4862,47.4645,14
002298,"　　中电鑫龙(002298)6月13日早间公告，公司于2016年6月12日收到全资子公司北京中电兴发科技有限公司的告知函。告知函内容为：中电兴发于2016年6月8日在滁州市社会治安视频防控系统三期项目招标中中标，中标金额为2.96亿元。

　　公司表示，若该项目能够签订正式项目合同并顺利实施，将对中电兴发在""公共安全、智慧城市、平安城市""等物联网应用领域的产品、业务发展以及市场拓展产生积极的促进和推动作用，提升了中电兴发在公共安全与反恐、智慧城市、平安城市行业的知名度。",中电鑫龙子公司中标2.96亿元视频防控系统项目,,,2016-06-13,证券时报,,237,10.0,4.586,4.4492,10.5795,2.9167,2.032,26.7743,0.3179,0.3179,20.5454,45.935,10
300131,"英唐智控公告，6月17日，公司分别与大富科技（300134）与华森科技（835953）签订《战略合作框架协议》，共同推动智能终端、物联网、通信、新能源汽车、工业4.0等业务的发展，建立长期的战略合作伙伴关系。

　　华森科技是领先的自主品牌智能软硬件整体解决方案提供商，公司旗下拥有Telego、至尊宝BestSonny等多个品牌。

　　英唐智控表示，本次合作将有利于公司“以智能控制及电子元器件分销为基础，并逐步建立智能家居（家庭数据）平台和电子信息产业互联网（企业数据）平台的双平台”战略的实施。

　　大富科技方面表示，合作有利于公司进一步拓展通信、智能终端、新能源汽车等领域相关产品的市场。",英唐智控与大富科技及华森科技战略合作,,,2016-06-17,上海证券报,,300,11.8,8.6744,7.3514,5.6746,1.5335,1.1118,89.0421,1.3774,1.3774,46.1008,29.3405,11
600340,"　　华夏幸福(600340)6月22日晚间公告，在6月22日召开的公司董事会审议通过了《关于下属子公司与印度尼西亚AS公司签署合作协议的议案》，同意公司下属子公司与交易对方签署《关于整体合作开发建设经营印度尼西亚共和国万丹省唐格朗县约定区域的合作协议》。

　　资料显示，此次合作方PT Alam Sutera Realty Tbk（以下简称""AS公司""）为印度尼西亚共和国知名企业马龙佳集团旗下负责地产开发运营的旗舰企业。AS公司现为印尼上市公司，自1994年设立以来主要业务涉及大规模市镇和高质量居住、商业项目的综合开发及管理，在雅加达周边拥有一定的土地储备，并成功开发了Alam Sutera新城项目。

　　早在2015年12月末，华夏幸福已与AS公司签署《备忘录》，约定公司将以海外子公司与AS公司共同合作开发位于万丹省唐格朗市的地块。合作区域地处印尼首都雅加达西部的万丹省唐格朗县，距离印尼首都雅加达市中心约30公里，距离雅加达国际机场20公里。合作区域所在的大雅加达及周边地区当前人口规模超过3，000万人，过去十年间人口年均增长率为3.98%，是东南亚地区规模最大的城市群。合作区域顺应当地快速的城镇化和工业化趋势，发展潜力较大。

　　根据新签订的协议，华夏幸福拟发挥在产业新城开发运营方面的优势并结合AS公司作为印尼本土开发商的优势，与AS公司在印尼万丹省唐格朗县内约定区域共同打造一个集产业、住宅和商业为一体的新城，双方将在合作区域内进行独家合作并分享联合开发产生的共同利益。

　　华夏幸福表示，上述项目是公司在海外的第一个产业新城项目。本协议的签署有助于公司汇聚合作资源，以产业新城为落地载体，搭建产业合作平台，努力为中资企业投资印尼提供综合解决方案和一站式服务。

　　与此同时，华夏幸福还同时公告了公司其余两项最新动向，分别为全资子公司京御地产收购无锡幸福基业剩余股权，以及华夏幸福签订眉山市彭山区产业新城PPP项目相关合同。

　　具体而言，华夏幸福全资子公司京御地产拟与华鑫信托签订《股权受让合同》，京御地产拟回购华鑫信托持有的无锡幸福基业49%股权，交易价款为5.97亿元。交易完成后，无锡幸福基业将成为京御地产全资子公司。

　　资料显示，无锡幸福基业经营范围为房地产开发与经营、房屋租赁服务。华夏幸福表示，本次股权回购是公司、京御地产、无锡幸福基业与华鑫信托签署《股权转让合同》的后续事项，华鑫信托为无锡幸福基业补充了流动资金，推进了无锡幸福基业旗下项目开发建设进度。本次股权回购完成后，华鑫信托委派的董事将退出无锡幸福基业，无锡幸福基业将成为京御地产全资子公司。

　　华夏幸福同时公告，今年年初，公司与彭山区人民政府签署《关于整体合作开发建设经营四川省眉山市彭山区约定区域的合作备忘录》，公司有意与彭山区人民政府共同开发建设四川省眉山市彭山区行政区划内约定区域。2016年6月21日，公司取得《中选通知书》，为四川省眉山市彭山区产业新城PPP项目成交人。

　　根据规划，眉山市彭山区人民政府拟以四川省眉山市彭山区行政区划内约定区域的整体开发各事项与乙方进行合作，合作区域占地面积约为93平方公里。

　　其中，眉山市彭山区人民政府负责合作区域的开发建设管理工作，负责合作区域内规划建设用地的前期土地征转，按照双方约定的开发进度提供建设用地并依法进行供地。华夏幸福负责投入全部资金全面协助眉山市彭山区人民政府进行合作区域的开发建设及管理工作，包括在委托区域内根据规划要求提供""九通一平""等基础设施建设、公共设施建设、土地整理及前期开发投资、产业发展服务及相关咨询服务等。",华夏幸福携手印尼AS公司 开发首个海外产业新城项目,,,2016-06-22,证券时报,,1507,70.7,4.5234,3.7878,16.3846,1.3999,0.4773,835.4259,0.2572,0.2572,84.7814,10.5409,68
002678,"　　产销量常年全球第一，共积累200万用户的珠江钢琴（002678），计划借助阿里大数据能力，形成全国钢琴后服务平台，构建“制造-租售-服务-教育”的产业链闭环，从而成功完成公司的“互联网+”战略转型。

　　项目负责人珠江钢琴总经理助理吴志辉表示，入口端引流和教育平台是业务重心，经营团队持有相关公司10%股份，对大家来说不啻于二次创业。

　　7月5日，广州市国资委主任周建军率珠江钢琴、广州金融控股集团、广州市国资国企创新战略联盟等公司前往杭州阿里巴巴集团和云栖小镇，就广州国企与阿里巴巴在云计算、大数据等领域深化合作进行深度交流。当日珠江钢琴与阿里云签署战略合作协议，将在互联网的融合发展及打造钢琴后服务领域的生态系统上进行项目合作，打造领先的“云上钢琴服务”生态系统。

　　阿里巴巴集团副总裁兼阿里云总裁胡晓明表示，这是阿里接待的首个由国资委领导亲自带队的国企“互联网+”考察团，充分体现广州市一直走在改革开放前沿城市的特点。

　　合作协议主要有5项核心内容，阿里云作为珠江钢琴合作伙伴将提供全面的技术支持，帮助珠江钢琴快速引入阿里云的云计算及大数据技术能力，并为其提供乐器云服务平台相关的业务咨询、平台建设及业务运营等综合服务。

　　珠江钢琴认为，此次云服务方面合作将形成覆盖全国钢琴后服务平台的强大力量，是一个全新的深度融合“互联网+”的重要举措，将加快公司向综合文化企业的战略转型，提高公司盈利能力。

　　据了解，珠江钢琴累计销售钢琴200万架，产销量连续多年位居全球第一，每年国内市场销售超过13万架，市占率超过三成。不过，对于钢琴出售后的用户服务市场，珠江钢琴一直未予充分开发，目前主要是一年内免费为用户调琴调音。

　　2016年5月，珠江钢琴公告计划发起成立珠江乐器云服务平台科技有限公司，其中珠江钢琴持股55%，吴志辉持股10%，共同发力用户服务市场。

　　吴志辉介绍，钢琴行业的服务比较专业，而且存在着明显的信息不对称。云服务平台的发展重点放在教育平台，特别是钢琴市场各种机构的引流，从而打造出完整的服务闭环，包括钢琴的数据服务、教育服务，目前已有一些机构开展业务但是受其自身局限所以规模不大。

　　具体而言，借助阿里云计算等技术深度分析用户大数据，珠江钢琴云服务平台可以全方位与钢琴用户及其他乐器用户对接，依托珠江钢琴的龙头地位，展开互联网业务场景构建，搭建平台提供产品咨询导购、音乐教育、音乐演出、音乐活动、乐器金融等多种增值服务。",珠江钢琴携手阿里云战略转型“互联网+”,,,2016-07-06,证券时报,,1038,31.3,6.6908,6.1931,10.3814,2.1002,1.0737,43.2713,0.5845,0.5845,29.9793,44.887,27
300265,中证网讯 通光线缆（300265）7月8日晚间公告，公司全资子公司江苏通光光缆有限公司、江苏通光强能输电线科技有限公司中标国家电网公司2016年输电线路材料光缆及光缆附件第三次集中招标活动中光缆3758万元，国家电网公司2016年输电线路材料导地线第三次集中招标活动中导线2527万元，中标金额合计6285万元，占2015年经审计营业收入总额的6.42%。,通光线缆中标6285万元合同,,,2016-07-08,中国证券报,,178,0.0,8.1253,7.3921,7.7262,1.4141,1.2352,116.6246,0.7876,0.7876,53.8366,25.8739,0
000018,"神州长城11日午间公告签署重大海外合同。公司近日收到全资子公司神州长城国际工程有限公司（简称“神州国际”）与Banque Congolaise de l’Habitat（简称“BCH”） 签署的《刚果（布）5000 套现代经济适用房项目总承包合同》，合同金额预计 3 亿美元。
　　BCH系由刚果（布）政府控股 83.7%的专业住房银行，主要职责为协助刚果（布）政府解决更多刚果（布）家庭的住房问题。经营情况正常，具备履行本协议的能力。
　　该项目承包方式为EPC+F 总承包，涉及项目的设计、采购、建设、融资等，合同预计为 3 亿美元，项目将分为三期执行，其中一期在布拉柴维尔北，金额 1 亿美元；二期在布拉柴维尔南，金额 1.1 亿美元；三期在黑角北，金额 0.9 亿美元。合同工期为自合同生效日起三十六个月。
　　上述项目 15%的资金由BCH自筹，85%的资金由BCH向中国金融机构融资。预付款为 15%，进度款为 80%，业主颁发接收证书后支付 5%。 在神州国际收到BCH 15%预付款后的 28 日内，神州国际须提供给BCH履约保证金，总额等于EPC合同金额的 10%。
　　公司称，由于神州国际尚未收到合同预付款，目前BCH和中国金融机构的相关融资协议尚未签订，合同生效时间具有不确定性。该合同签署对公司本年度业绩预计不构成重大影响，合同生效后对未来几年的业绩将产生积极影响。",神州长城子公司签署3亿美元海外合同,,,2016-07-11,上海证券报,,596,11.28,11.78,,11.93,1.41,1.34,,0.78,,77.08,6.18,10
600068,"　　葛洲坝（600068）7月11日晚间公告，近日，公司与云南省人民政府签订了《云南省人民政府 中国葛洲坝集团股份有限公司战略合作框架协议》，双方就战略投资和建设合作、国际化合作、科研技术合作、人力资源合作等领域达成协议。

　　公告指出，根据相关规划（政策），在符合法律、法规等前提下，云南省人民政府和公司一致同意在经济社会发展各领域广泛开展合作。公司以 PPP、EPC、施工总承包等方式参与云南省公路、轨道交通、水利水电、水务环保、市政基础设施建设等领域投资建设，计划5年内向云南省投资500亿元-1000亿元。同时，双方还就国际化合作、科研技术合作、人力资源合作等领域达成共识。

　　公司表示，合作协议的签署对公司2016年度经营业绩不构成重大影响。本合作协议的签署，符合公司的战略发展需要，有利于公司发挥综合业务优势，有利于公司的长远发展。",葛洲坝计划5年内向云南投资500亿-1000亿,,,2016-07-11,证券时报,,375,19.7,5.22,,4.55,1.69,1.04,,0.72,,67.64,33.52,20
002431,"棕榈股份（002431）7月14日晚间公告称，公司于近日收到与烟台市福山区人民政府签署的《战略合作框架协议书》，双方初步确定五大项目，项目投资约50亿元。

　　资料显示，福山区是我国首批14个沿海开放城市之一烟台市的市辖区，是烟台市规划建设的现代化工业城区和先进制造业基地。福山区始终把对外开放排在首要位置，已吸引30家世界500强企业和18个大型央企投资落户，构建起以汽车部件、电子信息、装备制造三大主导产业为重点，以新能源、新材料、生物医药三大新兴产业为补充的现代化工业体系，经济综合实力逐年提升，现代河滨市区形象日益凸显，社会各项事业全面进步。先后被授予“2009-2011年度全省县域经济综合实力先进单位”，综合实力位列全省116个省评县市区第四名；2012-2014年连续三年荣获“中国市辖区综合实力五百强区”称号。

　　棕榈股份表示，本项目投资估算约为50亿元，占公司2015年度经审计营业收入的113.62%，若顺利签署相关合同，预计对公司未来年度的经营业绩产生积极的影响。

　　上述合同的签订有利于公司持续推进“生态城镇+内容”战略。中金公司指出，公司将生态城镇业务作为转型方向，制定了建设、运营和内容三驾马车共同驱动的战略，并确立了以教育、文化、旅游、娱乐、体育为核心的内容要素。

",棕榈股份签署战略合作框架协议 投资金额约50亿元,,,2016-07-14,中国证券报,,554,21.6,1.8876,1.7901,1.3045,1.7456,0.8084,213.4073,0.3016,0.3016,66.727,22.831,20
300094,"　　国联水产（300094）7月22日晚间披露公告，公司与郑州思念食品有限公司（以下简称“思念食品”）于2016年7月21日在湛江签订《战略合作协议》，经双方友好协商，以共同发展和长期合作为目标，双方拟建立战略合作伙伴关系。

　　公告介绍，思念食品法定代表人为李伟，注册资本6600万美元，为中国最大的专业速冻食品生产企业之一，产品涵盖速冻汤圆、速冻水饺、速冻面点、速冻休闲食品、速冻西点、速冻调理制品等六大系列、300多个单品，主要产品在国内市场占有率达20%以上，品牌影响力、生产能力、销售总量均位居全国同行业前列。

　　双方拟在原料供应、产品研发、生产加工、渠道合作、品牌建设等方面进行全方位的业务合作，主要包含五个方面。原料供应方面，国联水产即时启动对思念食品现有虾仁水饺和虾仁云吞产品所需的基础海鲜原料的供应，未来思念食品将利用国联水产全球优质采购平台进行更多品类的海鲜原料采购合作。

　　产品合作研发方面，将借助双方研发优势，面向中高端消费人群，进行优质冷冻水产、调理休闲类食品等高附加值产品的深度研发合作。生产加工方面，双方将利用各自国内外研发团队及高标准生产设施，为对方提供针对性的产品研发和代加工服务，满足对方特定产品研发生产需求。

　　在渠道合作方面，将充分利用各自海内外销售渠道资源及品牌影响力，实现双方渠道互补以及双方海外子公司资源共享，扩大双方产品在全球的市场覆盖。品牌建设合作方面，在研发、生产、渠道等深入合作基础上，合力打造优质中高端食品品牌。

　　国联水产认为，本次合作有利于充分发掘双方在各自领域的资源优势，实现优势互补，合作共赢，有利于优化公司产品销售渠道和产品结构，提升公司产品的研发能力，完善公司品牌建设，尤其是优质中高端食品品牌，符合公司未来发展战略。",国联水产与思念食品战略合作 涵盖采购生产全方位业务,,,2016-07-22,证券时报,,752,34.58,4.6211,4.2262,3.5819,2.2742,1.0191,72.5647,0.9154,0.9154,42.0507,19.3745,32
000672,"上峰水泥7月25日晚间公告称，公司正在筹划以现金方式收购浙江上峰控股集团有限公司及共青城上诚投资管理合伙企业（有限合伙）合计持有的浙江上峰房地产有限公司100%股权。浙江上峰控股集团有限公司系公司控股股东，因此本次交易构成关联交易，预计不会构成重大资产重组事项。

　　公告称，此次交易是为实现公司产业链优化与延伸战略，加强现有主业水泥产品与下游终端房地产行业协同效应，熨平公司业绩周期性波动风险；充分发挥公司成本管控和市场竞争优势，强化各子公司基地间资源渠道共享，并规范整合控股股东产业与人力资源，从而进一步增强公司抵抗风险能力和持续盈利能力。

　　公司表示，本次交易事项需经公司董事会、股东大会审议通过方可实施，关联董事及关联股东需执行回避表决，因此，本次交易能否通过审批尚存在一定的不确定性。公司已确定中介机构正在开展对标的资产的审计、评估等工作，并将根据《证券法》、《深圳证券交易所股票上市规则》等相关制度规定履行审议程序及信息披露。",上峰水泥拟筹划收购控股股东旗下房地产公司,,,2016-07-25,中国证券报,,422,-0.199999999999999,4.7057,4.7444,5.5254,0.5851,0.2593,286.991,0.4976,0.4976,72.4193,62.5647,0
601668,"7月29日，中国建筑股份有限公司发布公告宣布，近日公司与辽宁省人民政府签署《战略合作协议》，将辽宁省作为重要的目标市场和重点投资区域，于“十三五”期间，进一步深化合作方式，拓展合作领域，力争在辽宁省完成投资1500亿元。

中国建筑在公告中表示，双方愿意共同努力，持续深化合作，建立长期战略合作关系。双方本着“平等互利、优势互补、资源共享、合作共赢”的原则，进行多层次、多渠道、多模式的合作。

据观点新媒体查阅公告，根据协议，中国建筑将在传统的勘察设计、房地产开发、建筑工程承包等领域继续参与辽宁省的重大工程建设，同时发挥自身在资本、规划、投资、管理、技术、运营等领域的综合服务优势，全面参与到辽宁省的新型城镇化建设、重大基础设施工程投资建设、城市公共配套服务建设运营等领域。“十三五”期间将在现有合作基础上，进一步深化合作方式，拓展合作领域，力争在辽宁省完成投资1500亿元。

中国建筑还表示，本协议的签署及履行对公司未来年度经营业绩有积极作用。

此外，于7月1日，中国建筑宣布与青海省人民政府签署《战略合作框架协议》，将青海省作为重要的战略投资区域，“十三五”期间，在合作领域计划投资规模1000亿元。

另外，据观点新媒体此前报道，中国建筑2016年1-5月地产业务方面的合约销售额为623亿元，同比增长24.9%，相应的合约销售面积为496万平方米，同比增长18.0%。中国建筑还称，其期末土地储备为6886万平方米，新购置土地储备302万平方米。",中国建筑与辽宁政府签战略合作协议 计划投资1500亿,,,2016-07-29,其他,,631,31.9,4.7489,4.208,5.3303,1.3881,0.77,577.9576,0.7781,0.7781,79.0942,20.2598,31
300177,"8月1日晚，中海达公告，公司公司全资子公司广州市中海达测绘仪器有限公司近日与广东省海洋与渔业局签订了《广东省海洋经济创新发展区域示范专项项目合同书》,就海洋声学测量与探测设备领域进行科研和产业化。该项目总经费预算为3700 万元,其中自筹资金2600 万元,申请中央财政补助资金1100 万元。

　　此次项目内容为研制集成多传感器的高端海洋声学测量与探测设备并进行产业化推广，目标是通过突破多声波测深关键技术、浅水多波束产品研制关键技术、多传感器集成辅助测量技术,开展关键技术研究、超声波探测仪与多波束测深设备研制、多传感器测量与探测系统集成的研究,形成集成多传感器的高端海洋声学测量与探测设备,重点实现高端海洋声学测量与探测设备的国产化。

　　中海达表示，本次科研专项项目将提升公司在高端海洋声学与探测设备制造的生产能力和自主创新能力,对公司自主高端海洋装备的产业化有着积极的推进作用,有利于公司战略发展目标的实现。",中海达子公司获广东省海洋探测科研项目,,,2016-08-01,中国证券报,,411,19.792,0.8324,0.8012,-1.1745,4.0972,3.6143,24.238,0.3866,0.3866,18.654,27.6721,13
300020,"　　银江股份（300020）8月16日午间发布公告，公司近期与世界知名增强现实（AR）科技公司Magic Leap，INC.（下称“Magic Leap”）原股东 LEGEND PICTURES, LLC 签署了股权转让协议，通过自有资金500 万美元受让原股东 LEGEND PICTURES, LLC 所持股权方式，取得 Magic Leap 股份21.28万股，并于近日收到 Magic Leap 公司CEO及创始人 Rony Abovitz 签署的股权证明。
　　资料显示，Magic Leap成立于2011 年 5 月，现有员工超过 500 人，专利 150 多项，股东包括谷歌、阿里、高通、凯鹏华盈、摩根士丹利、摩根大通、华纳兄弟等。Magic Leap 的主要研发方向是将立体 3D 图像无缝整合到真实场景，通过电子光波传输到眼睛和大脑，让用户在真实场景的基础上能直接看到虚拟场景并与之互动。目前 Magic Leap 估值超过 45 亿美元。本轮银江股份投资Magic leap 的每股对价为 23.5 美元，估值为 37 亿美元。
　　银江股份披露，公司与国家科技部引导基金共同发起的产业投资基金已于今年上半年投资了国内一家从事虚拟现实的企业——杭州映墨科技有限公司，并已取得较好的合作效果。未来公司将持续通过资本投入、联合研发、市场整合等方式与 VR/AR 产业内的知名企业开展多层次合作，将 VR/AR 技术应用于智慧城市各个领域，提升公司在行业中的技术领先优势。
　　银江股份表示，公司以直投的形式对 Magic Leap 进行投资，有助于通过与 Magic Leap 进行直接业务合作将其产品运用于智慧城市 AR 展示领域，并能与 Magic Leap 进行联合研发、市场整合等更深层次的合作。公司看好虚拟现实技术（VR）及增强现实技术（AR）在 智慧城市各细分领域的适用前景，将VR/AR 技术应用在智慧城市行业中的智慧教育、智慧旅游、智慧医疗、智慧交通、智慧能源等细分领域有利于提高各领域的产品体验和丰富各细分行业整体解决方案。",银江股份500万美元投资AR公司Magic Leap,,,2016-08-16,中国证券报,,879,31.0,3.624,3.3791,9.4037,1.6503,1.1691,82.2485,0.3246,0.3246,44.8856,26.841,31
300075,"数字政通（300075）8月21日晚间公告，数字政通于近日，与贵州智源信息产业孵化基地有限公司、中国联合网络通信有限公司吉林市分公司和即墨经济开发区管理委员会分别签署战略合作框架协议，充分发挥各自优势，共同推进“智慧乌当”、“智慧江城（吉林市）”和“智慧即墨经济开发区”项目建设，开展广泛、深入的项目和产业合作。
        公告显示，“智慧乌当”项目中数字政通计划投入3.5亿元人民币，与甲方共同打造“智慧乌当”。数字政通负责的具体项目包括但不限于城市公共信息平台、公共基础数据库、智慧社区、智慧管网、智慧停车、智慧医疗、智慧城管等领域。
        “智慧江城（吉林市）”项目除地方财政资金、以及国家、省、市政府专项扶持资金外，数字政通将投入5亿元人民币资金用于项目建设。项目规模和项目建设内容可根据建设实际情况在中国联合网络通信有限公司吉林市分公司的主导下经双方协商进行增减，单个项目的实施均按法定程序经政府采购流程完成。
        “智慧即墨经济开发区”项目数字政通计划投入约1.6亿元。数字政通负责的具体项目包括但不限于城市公共信息平台、公共基础数据库、智慧社区、智慧管网、智慧停车、智慧医疗、智慧城管、智慧党建、智慧环卫、智慧环保、智慧招商、智慧旅游等领域。
        数字政通表示，上述协议的签署，符合公司战略发展的需要，通过不断积累智慧城市项目建设和运营经验，进一步提升公司的核心竞争力及行业影响力。",数字政通签署智慧城市合作协议,,,2016-08-21,中国证券报,,618,35.3,7.581,6.7891,12.2649,1.6485,1.4576,64.8748,0.4592,0.4592,38.5291,38.0864,33
300426,"　　唐德影视（300426）和中文在线（300364）8月23日午间双双发布公告表示，双方于今日签署了战略合作协议，拟在影视项目、游戏项目、宣传推广等方面进行合作，上述合作均为独家合作，具有排他性，合作期限为 1 年。

　　在影视项目方面，双方拟确立影视项目战略合作关系，就合作小说作品共同开发影视项目，包括但不限于电影、电视剧、网络剧、网络电影、电视栏目等一切现有及未来出现的影视作品形式及相关衍生品等商务开发。在游戏项目方面，双方将共同负责，或共同授权第三方制作公司或团队开发游戏项目，包括但不限于网游、单机游戏、客户端游戏、网页游戏、手机游戏等一切游戏形式及相关衍生品等商务开发，并将共同负责游戏项目的宣发工作。

　　两公司均表示，此次合作有利于丰富公司的IP资源储备，对公司影视及相关产业运营、发展起到重要的推动作用。

",唐德影视牵手中文在线 多领域展开独家合作,,,2016-08-23,证券时报,,367,14.6,9.9403,7.8697,20.392,2.1412,1.2894,143.0018,0.3926,0.3926,58.3809,17.3945,12
601186,中国铁建(01186)发布公告，下属中铁十八局与中国铁建电气化局组成的联合体，中标尼日利亚卡诺州轻轨(1，2，3，4号线)总长74.3公里项目，合同额约18.51亿美元(约120.3亿元人民币)。约占公司2015年营业收入的2%。,中国铁建(01186)中标18.5亿美元轻轨项目,,,2016-08-30,智通财经,,115,0.0,2.9034,2.7825,2.8811,1.245,0.7037,465.4643,0.8648,0.8648,80.4152,19.4964,0
